ProductId,SubCategoryId,Product Name
OFF-AP-10002904,11,"Hamilton Beach Refrigerator, Silver"
TEC-MOT-10003348,2,"Motorola Smart Phone, Full Size"
TEC-PH-10001990,2,"Cisco Smart Phone, Full Size"
TEC-PH-10002898,2,"Samsung Smart Phone, Full Size"
TEC-CO-10001633,3,"Sharp Fax Machine, High-Speed"
TEC-PH-10002623,2,"Cisco Smart Phone, with Caller ID"
FUR-TA-10004575,6,Hon 5100 Series Wood Tables
FUR-BO-10001498,7,"Dania Classic Bookcase, Pine"
OFF-AP-10003598,11,"Breville Refrigerator, Red"
FUR-CH-10001582,5,"Office Star Executive Leather Armchair, Black"
TEC-MA-10001047,4,"3D Systems Cube Printer, 2nd Generation, Magenta"
TEC-PH-10000505,2,"Apple Smart Phone, with Caller ID"
FUR-BO-10002003,7,"Sauder Classic Bookcase, Metal"
TEC-CO-10001775,3,"Sharp Wireless Fax, Laser"
OFF-AP-10000647,11,"Hoover Refrigerator, White"
TEC-MA-10004002,4,Zebra GX420t Direct Thermal/Thermal Transfer Printer
TEC-CO-10001926,3,"Hewlett Wireless Fax, Laser"
OFF-ST-10001496,12,Standard Rollaway File with Lock
FUR-CH-10002203,5,"SAFCO Executive Leather Armchair, Black"
FUR-BO-10001934,7,"Bush Library with Doors, Metal"
TEC-CO-10000562,3,"HP Wireless Fax, Digital"
TEC-MA-10001127,4,"HP Designjet T520 Inkjet Large Format Printer - 24"" Color"
OFF-BI-10000545,9,GBC Ibimaster 500 Manual ProClick Binding System
TEC-CO-10002035,3,"Canon Wireless Fax, High-Speed"
TEC-CO-10004099,3,"Sharp Fax Machine, Digital"
TEC-PH-10003002,2,"Cisco Smart Phone, Full Size"
FUR-TA-10001932,6,"Chromcraft 48"" x 96"" Racetrack Double Pedestal Table"
TEC-CO-10004722,3,Canon imageCLASS 2200 Advanced Copier
FUR-CH-10000749,5,Office Star - Ergonomic Mid Back Chair with 2-Way Adjustable Arms
TEC-CO-10004398,3,"Brother Copy Machine, Color"
TEC-CO-10004535,3,"Hewlett Fax Machine, High-Speed"
TEC-AC-10000420,1,"Belkin Router, USB"
FUR-BO-10001212,7,"Safco Classic Bookcase, Mobile"
TEC-PH-10001670,2,"Motorola Smart Phone, Full Size"
FUR-CH-10001215,5,Global Troy Executive Leather Low-Back Tilter
FUR-BO-10004679,7,"Safco Library with Doors, Pine"
OFF-AP-10001776,11,"Hoover Refrigerator, Red"
TEC-MA-10003704,4,"StarTech Printer, Wireless"
FUR-CH-10001854,5,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat
TEC-MA-10000984,4,Okidata MB760 Printer
TEC-AC-10000376,1,"Memorex Router, Bluetooth"
TEC-CO-10003800,3,"Hewlett Wireless Fax, Color"
TEC-SAM-10004230,2,"Samsung Smart Phone, Cordless"
FUR-CH-10002320,5,Hon Pagoda Stacking Chairs
OFF-AP-10002312,11,"KitchenAid Refrigerator, Black"
TEC-PH-10000169,2,"Apple Smart Phone, with Caller ID"
FUR-CH-10000595,5,Safco Contoured Stacking Chairs
FUR-BO-10000288,7,"Safco Classic Bookcase, Traditional"
TEC-AC-10000866,1,"Belkin Router, Erganomic"
OFF-AP-10001623,11,"Hoover Stove, White"
FUR-BO-10003541,7,"Bush Classic Bookcase, Metal"
TEC-CO-10004365,3,"HP Wireless Fax, Color"
TEC-MA-10000822,4,Lexmark MX611dhe Monochrome Laser Printer
TEC-PH-10000800,2,"Cisco Smart Phone, Full Size"
FUR-BO-10004834,7,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish"
FUR-TA-10001642,6,"Lesro Round Table, Rectangular"
OFF-AP-10001041,11,"Hoover Stove, White"
OFF-AP-10002090,11,"Hamilton Beach Refrigerator, Red"
OFF-AP-10002330,11,"Hamilton Beach Stove, Silver"
TEC-CIS-10002344,2,"Cisco Smart Phone, Full Size"
FUR-TA-10002153,6,"Lesro Round Table, with Bottom Storage"
OFF-AP-10004964,11,"Hoover Stove, White"
TEC-AC-10003832,1,Logitech P710e Mobile Speakerphone
FUR-CH-10002061,5,"Harbour Creations Executive Leather Armchair, Red"
TEC-PH-10002759,2,"Cisco Smart Phone, Cordless"
TEC-PH-10001699,2,"Samsung Smart Phone, Full Size"
TEC-MA-10000418,4,Cubify CubeX 3D Printer Double Head Print
TEC-PH-10001494,2,Polycom CX600 IP Phone VoIP phone
FUR-BO-10000490,7,"Bush Library with Doors, Metal"
TEC-PH-10000018,2,"Nokia Smart Phone, Full Size"
FUR-HON-10003533,5,"Hon Executive Leather Armchair, Adjustable"
TEC-AC-10001949,1,"Enermax Router, Bluetooth"
OFF-HOO-10004910,11,"Hoover Refrigerator, White"
TEC-MA-10001335,4,"Epson Printer, Durable"
FUR-TA-10000347,6,"Hon Computer Table, Adjustable Height"
TEC-PH-10000493,2,"Apple Smart Phone, Full Size"
FUR-TA-10003596,6,"Lesro Computer Table, Adjustable Height"
FUR-TA-10003179,6,"Lesro Wood Table, Fully Assembled"
TEC-PH-10001396,2,"Nokia Smart Phone, Cordless"
FUR-TA-10003078,6,"Hon Training Table, Fully Assembled"
FUR-CH-10003581,5,"Hon Executive Leather Armchair, Adjustable"
FUR-TA-10000184,6,"Barricks Conference Table, Fully Assembled"
OFF-AP-10001956,11,"Breville Refrigerator, Black"
TEC-PH-10002200,2,Samsung Galaxy Note 2
OFF-AP-10003382,11,"Breville Stove, White"
OFF-ST-10002011,12,Smead Adjustable Mobile File Trolley with Lockable Top
OFF-AP-10003917,11,"KitchenAid Stove, Silver"
OFF-ST-10002900,12,"Smead Lockers, Wire Frame"
TEC-CO-10003819,3,"Sharp Copy Machine, High-Speed"
OFF-AP-10000675,11,"Hamilton Beach Stove, White"
FUR-BO-10003404,7,"Global Adaptabilites Bookcase, Cherry/Storm Gray Finish"
OFF-AP-10001824,11,"Breville Stove, Silver"
OFF-SME-10000746,12,"Smead Lockers, Industrial"
TEC-MA-10003673,4,Hewlett-Packard Desktjet 6988DT Refurbished Printer
OFF-ST-10001490,12,"Hot File 7-Pocket, Floor Stand"
TEC-PH-10001578,2,Polycom SoundStation2 EX Conference phone
TEC-CO-10000208,3,"Brother Wireless Fax, Color"
FUR-CH-10003312,5,Hon 2090 “Pillow Soft” Series Mid Back Swivel/Tilt Chairs
TEC-EPS-10000053,4,"Epson Receipt Printer, Red"
OFF-ST-10004060,12,"Fellowes Lockers, Blue"
TEC-PH-10000303,2,"Samsung Smart Phone, VoIP"
FUR-BO-10002708,7,"Dania Library with Doors, Pine"
FUR-BO-10000210,7,"Ikea Library with Doors, Pine"
FUR-BO-10001192,7,"Bush Library with Doors, Mobile"
FUR-SAU-10002255,7,"Sauder Classic Bookcase, Pine"
FUR-CH-10000974,5,"Harbour Creations Executive Leather Armchair, Black"
OFF-AP-10003866,11,"Breville Microwave, Red"
FUR-CH-10003616,5,"Novimex Executive Leather Armchair, Adjustable"
FUR-CH-10000479,5,"Harbour Creations Executive Leather Armchair, Adjustable"
TEC-CO-10001046,3,Canon Imageclass D680 Copier / Fax
OFF-HOO-10000318,11,"Hoover Microwave, Silver"
TEC-NOK-10001283,2,"Nokia Smart Phone, Full Size"
OFF-AP-10000407,11,"KitchenAid Refrigerator, Silver"
OFF-BI-10001359,9,GBC DocuBind TL300 Electric Binding System
FUR-CH-10002335,5,Hon GuestStacker Chair
TEC-MA-10001148,4,Okidata MB491 Multifunction Printer
FUR-BAR-10004434,6,"Barricks Wood Table, Rectangular"
FUR-BO-10002444,7,"Sauder Library with Doors, Mobile"
FUR-BO-10004709,7,"Bush Classic Bookcase, Pine"
TEC-MA-10004772,4,"Konica Inkjet, White"
FUR-BAR-10003532,6,"Barricks Conference Table, Rectangular"
TEC-CO-10002911,3,"Hewlett Wireless Fax, Laser"
FUR-TA-10001705,6,Bush Advantage Collection Round Conference Table
FUR-SAU-10004653,7,"Sauder Classic Bookcase, Traditional"
TEC-NOK-10004339,2,"Nokia Smart Phone, Cordless"
FUR-TA-10000022,6,"Hon Conference Table, Adjustable Height"
FUR-CH-10000843,5,"SAFCO Executive Leather Armchair, Set of Two"
OFF-AP-10002681,11,"Hamilton Beach Stove, Black"
TEC-AC-10002049,1,Plantronics Savi W720 Multi-Device Wireless Headset System
OFF-BI-10003925,9,Fellowes PB300 Plastic Comb Binding Machine
OFF-AP-10004627,11,"Hamilton Beach Stove, Silver"
TEC-PH-10001076,2,"Nokia Smart Phone, Cordless"
TEC-PH-10001457,2,"Apple Smart Phone, Full Size"
TEC-MA-10004534,4,"Konica Printer, Wireless"
FUR-BO-10003991,7,"Bush Classic Bookcase, Traditional"
OFF-AP-10002793,11,"KitchenAid Stove, Black"
FUR-CH-10002093,5,"Harbour Creations Rocking Chair, Adjustable"
FUR-BO-10003103,7,"Ikea Classic Bookcase, Metal"
TEC-CO-10001818,3,"Sharp Wireless Fax, Digital"
TEC-CO-10002040,3,"Brother Fax Machine, Digital"
TEC-CO-10001654,3,"Hewlett Wireless Fax, Digital"
OFF-AP-10002397,11,"Breville Microwave, White"
TEC-CAN-10001853,3,"Canon Fax Machine, High-Speed"
FUR-CH-10001207,5,"Hon Executive Leather Armchair, Red"
TEC-PH-10002597,2,"Apple Signal Booster, with Caller ID"
TEC-CO-10002617,3,"Brother Fax Machine, High-Speed"
TEC-CO-10000556,3,"HP Wireless Fax, Laser"
OFF-AP-10000275,11,"Sanyo Counter Height Refrigerator with Crisper, 3.6 Cubic Foot, Stainless Steel/Black"
TEC-HEW-10003460,3,"Hewlett Fax and Copier, Color"
TEC-PH-10002672,2,"Cisco Smart Phone, Full Size"
TEC-PH-10000106,2,"Apple Smart Phone, Full Size"
OFF-AP-10003057,11,Honeywell Enviracaire Portable HEPA Air Cleaner for 16' x 20' Room
TEC-CO-10002095,3,Hewlett Packard 610 Color Digital Copier / Printer
TEC-SAM-10000345,2,"Samsung Audio Dock, with Caller ID"
TEC-CIS-10002259,2,"Cisco Smart Phone, Cordless"
OFF-AP-10004350,11,"KitchenAid Refrigerator, Red"
OFF-HOO-10000335,11,"Hoover Microwave, White"
FUR-BO-10004129,7,"Sauder Classic Bookcase, Pine"
OFF-ST-10004597,12,"Rogers File Cart, Blue"
FUR-CH-10001664,5,"Novimex Swivel Stool, Black"
OFF-AP-10003240,11,"Breville Stove, Black"
FUR-TA-10000136,6,"Chromcraft Conference Table, Adjustable Height"
FUR-BO-10002866,7,"Safco Classic Bookcase, Pine"
OFF-ST-10004459,12,Tennsco Single-Tier Lockers
FUR-TA-10001276,6,"Lesro Coffee Table, with Bottom Storage"
TEC-MA-10002178,4,Cisco CP-7937G Unified IP Conference Station Phone
TEC-APP-10002966,2,"Apple Smart Phone, Full Size"
FUR-CH-10000685,5,"Hon Executive Leather Armchair, Black"
FUR-BO-10001541,7,"Bush Stackable Bookrack, Traditional"
TEC-CO-10003931,3,"Hewlett Fax Machine, High-Speed"
FUR-BO-10001553,7,"Sauder Library with Doors, Traditional"
OFF-ST-10004748,12,"Smead Lockers, Blue"
OFF-AP-10000540,11,"Hamilton Beach Refrigerator, Red"
TEC-CO-10004567,3,"Brother Fax Machine, Color"
FUR-BO-10001749,7,"Bush Classic Bookcase, Traditional"
OFF-ROG-10003898,12,"Rogers Lockers, Single Width"
TEC-MA-10000864,4,Cisco 9971 IP Video Phone Charcoal
TEC-CO-10002663,3,"Sharp Wireless Fax, Laser"
TEC-CO-10001419,3,"Hewlett Copy Machine, Color"
TEC-CO-10003763,3,Canon PC1060 Personal Laser Copier
TEC-CO-10000679,3,"Hewlett Personal Copier, High-Speed"
FUR-IKE-10001539,7,"Ikea Classic Bookcase, Pine"
TEC-CO-10002376,3,"Hewlett Fax Machine, Laser"
FUR-TA-10002903,6,"Bevis Round Bullnose 29"" High Table Top"
OFF-AP-10000136,11,"Hamilton Beach Refrigerator, White"
FUR-BO-10000567,7,"Sauder Classic Bookcase, Traditional"
FUR-BO-10001471,7,"Sauder Classic Bookcase, Metal"
OFF-ST-10001758,12,"Rogers Lockers, Blue"
TEC-AC-10003870,1,Logitech Z-906 Speaker sys - home theater - 5.1-CH
OFF-ST-10004191,12,"Tenex Lockers, Blue"
FUR-TA-10004154,6,"Riverside Furniture Oval Coffee Table, Oval End Table, End Table with Drawer"
FUR-OFF-10001224,5,"Office Star Swivel Stool, Red"
FUR-BO-10002545,7,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors"
OFF-AP-10004913,11,"KitchenAid Refrigerator, Black"
TEC-MA-10002392,4,"Konica Card Printer, Wireless"
FUR-TA-10003222,6,"Barricks Wood Table, with Bottom Storage"
TEC-AC-10000639,1,"Belkin Router, Bluetooth"
FUR-TA-10003354,6,"Barricks Conference Table, Adjustable Height"
OFF-BI-10003091,9,GBC DocuBind TL200 Manual Binding Machine
OFF-AP-10001527,11,"Hamilton Beach Microwave, Black"
TEC-SAM-10004940,2,"Samsung Smart Phone, Full Size"
TEC-CO-10003777,3,"Hewlett Copy Machine, Color"
OFF-AP-10001169,11,"Cuisinart Microwave, White"
FUR-BO-10002213,7,DMI Eclipse Executive Suite Bookcases
FUR-BO-10000120,7,"Sauder Stackable Bookrack, Mobile"
TEC-PH-10002991,2,"Apple Smart Phone, Full Size"
FUR-TA-10000989,6,"Lesro Conference Table, Rectangular"
TEC-MA-10004609,4,"Okidata Inkjet, White"
TEC-CO-10003448,3,"Canon Personal Copier, Laser"
TEC-CO-10003496,3,"Brother Wireless Fax, Digital"
OFF-ST-10003150,12,"Smead Lockers, Wire Frame"
FUR-BO-10004947,7,"Safco Stackable Bookrack, Pine"
FUR-CH-10004694,5,"Office Star Rocking Chair, Black"
FUR-CH-10004669,5,"Novimex Executive Leather Armchair, Black"
FUR-BO-10001196,7,"Bush Library with Doors, Pine"
OFF-KIT-10001380,11,"KitchenAid Microwave, Black"
TEC-MA-10000753,4,"Epson Printer, Red"
OFF-ST-10000624,12,"Eldon File Cart, Single Width"
TEC-PH-10002601,2,"Motorola Smart Phone, Cordless"
OFF-ROG-10001735,12,"Rogers Lockers, Blue"
FUR-TA-10002256,6,"Hon Wood Table, Fully Assembled"
TEC-CO-10001413,3,"Hewlett Wireless Fax, High-Speed"
FUR-LES-10002026,6,"Lesro Conference Table, Rectangular"
TEC-MA-10001777,4,"Okidata Printer, Red"
FUR-CH-10004462,5,"Hon Executive Leather Armchair, Adjustable"
FUR-BO-10002580,7,"Safco Classic Bookcase, Pine"
TEC-PH-10004618,2,"Motorola Signal Booster, Cordless"
OFF-ROG-10001101,12,"Rogers Shelving, Wire Frame"
OFF-AP-10002252,11,"Cuisinart Stove, Black"
FUR-CH-10000660,5,"Novimex Executive Leather Armchair, Adjustable"
FUR-TA-10001285,6,"Chromcraft Conference Table, Fully Assembled"
OFF-ST-10003741,12,"Smead Lockers, Blue"
FUR-BO-10003046,7,"Safco Library with Doors, Mobile"
FUR-TA-10001116,6,"Barricks Conference Table, Fully Assembled"
TEC-PH-10004586,2,Wilson SignalBoost 841262 DB PRO Amplifier Kit
FUR-CH-10002780,5,"Office Star Executive Leather Armchair, Black"
FUR-BO-10004558,7,"Sauder Library with Doors, Pine"
TEC-PH-10003457,2,"Cisco Smart Phone, Full Size"
TEC-MEM-10002005,1,"Memorex Router, Erganomic"
TEC-CO-10003342,3,"Canon Fax Machine, High-Speed"
FUR-CH-10004086,5,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs
FUR-BEV-10004919,6,"Bevis Wood Table, with Bottom Storage"
TEC-OKI-10001385,4,"Okidata Inkjet, White"
FUR-CH-10003009,5,"Novimex Swivel Stool, Adjustable"
FUR-BO-10002613,7,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors"
OFF-BI-10004519,9,GBC DocuBind P100 Manual Binding Machine
OFF-AP-10001931,11,"Cuisinart Stove, Red"
OFF-AP-10001305,11,"Breville Microwave, White"
TEC-CO-10002150,3,"Canon Fax and Copier, Digital"
TEC-PH-10004823,2,"Nokia Smart Phone, Full Size"
FUR-CH-10000051,5,"Harbour Creations Executive Leather Armchair, Black"
FUR-CH-10000454,5,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back"
TEC-PH-10001795,2,ClearOne CHATAttach 160 - speaker phone
FUR-TA-10003268,6,"Lesro Round Table, Rectangular"
TEC-AC-10001838,1,Razer Tiamat Over Ear 7.1 Surround Sound PC Gaming Headset
FUR-BO-10002204,7,"Bush Classic Bookcase, Pine"
TEC-AC-10004571,1,"Logitech Router, Programmable"
FUR-CH-10004095,5,"SAFCO Executive Leather Armchair, Adjustable"
TEC-MA-10000010,4,Hewlett-Packard Deskjet 3050a All-in-One Color Inkjet Printer
OFF-KIT-10003683,11,"KitchenAid Stove, Silver"
FUR-BO-10000980,7,"Bush Library with Doors, Traditional"
FUR-BUS-10004644,7,"Bush Library with Doors, Pine"
TEC-PH-10000730,2,Samsung Galaxy S4 Active
OFF-AP-10002321,11,"Hoover Microwave, Silver"
TEC-PH-10000896,2,"Cisco Signal Booster, VoIP"
TEC-MEM-10002202,1,"Memorex Router, USB"
FUR-BO-10001356,7,"Ikea Library with Doors, Mobile"
TEC-SHA-10001231,3,"Sharp Wireless Fax, Color"
FUR-HON-10001960,6,"Hon Wood Table, Rectangular"
FUR-TA-10002966,6,"Chromcraft Computer Table, Fully Assembled"
FUR-BO-10001943,7,"Safco Library with Doors, Traditional"
TEC-BRO-10004802,3,"Brother Fax Machine, High-Speed"
TEC-PH-10001751,2,"Samsung Smart Phone, Cordless"
TEC-PH-10003713,2,"Nokia Smart Phone, Cordless"
FUR-BO-10000967,7,"Ikea Library with Doors, Pine"
OFF-AP-10002317,11,"Hamilton Beach Refrigerator, Silver"
TEC-SHA-10000971,3,"Sharp Fax Machine, Color"
FUR-CH-10000546,5,"Harbour Creations Executive Leather Armchair, Adjustable"
TEC-STA-10002497,4,"StarTech Card Printer, White"
TEC-CO-10001895,3,"Sharp Wireless Fax, Color"
OFF-AP-10002573,11,"Hamilton Beach Stove, Black"
FUR-BO-10001255,7,"Ikea Library with Doors, Mobile"
FUR-BO-10002990,7,"Dania Library with Doors, Traditional"
FUR-TA-10004711,6,"Lesro Conference Table, Adjustable Height"
OFF-AP-10000584,11,"Breville Refrigerator, Silver"
TEC-PH-10000720,2,"Samsung Audio Dock, Full Size"
OFF-SME-10000538,12,"Smead File Cart, Single Width"
FUR-BO-10002736,7,"Sauder Stackable Bookrack, Mobile"
OFF-CUI-10000682,11,"Cuisinart Stove, Silver"
TEC-AC-10002244,1,"Enermax Router, Erganomic"
TEC-HEW-10003829,3,"Hewlett Wireless Fax, High-Speed"
FUR-TA-10003954,6,Hon 94000 Series Round Tables
OFF-AP-10001593,11,"Cuisinart Microwave, Red"
OFF-BRE-10001107,11,"Breville Stove, Red"
TEC-MA-10002428,4,Fellowes Powershred HS-440 4-Sheet High Security Shredder
TEC-CO-10003655,3,"Hewlett Wireless Fax, High-Speed"
FUR-CH-10001271,5,"SAFCO Executive Leather Armchair, Red"
TEC-CO-10000447,3,"Canon Wireless Fax, Color"
FUR-CH-10001332,5,"Office Star Executive Leather Armchair, Red"
FUR-CH-10002573,5,"Office Star Executive Leather Armchair, Adjustable"
OFF-ST-10000704,12,"Rogers File Cart, Blue"
TEC-CO-10003354,3,"Brother Fax Machine, Laser"
TEC-MA-10002918,4,"StarTech Card Printer, White"
FUR-CH-10001588,5,"Hon Executive Leather Armchair, Red"
TEC-MA-10001752,4,"Konica Printer, Durable"
TEC-PH-10004006,2,"Nokia Audio Dock, Full Size"
FUR-BO-10000035,7,"Dania Classic Bookcase, Pine"
OFF-AP-10003275,11,"KitchenAid Microwave, Silver"
OFF-AP-10003561,11,"Breville Microwave, Black"
TEC-MA-10000488,4,Bady BDG101FRU Card Printer
TEC-STA-10003330,4,"StarTech Printer, Red"
TEC-CAN-10000932,3,"Canon Fax Machine, Color"
FUR-CH-10000994,5,"Harbour Creations Rocking Chair, Black"
FUR-BO-10003783,7,"Dania Library with Doors, Pine"
OFF-AP-10001329,11,"KitchenAid Stove, White"
TEC-CO-10004563,3,"HP Copy Machine, Color"
OFF-HOO-10001783,11,"Hoover Microwave, Red"
OFF-AP-10003558,11,"Hoover Refrigerator, White"
FUR-BO-10000170,7,"Safco Library with Doors, Mobile"
FUR-TA-10002101,6,"Bevis Conference Table, Fully Assembled"
TEC-PH-10000419,2,"Apple Smart Phone, Full Size"
FUR-TA-10001494,6,"Lesro Wood Table, Adjustable Height"
FUR-BO-10001165,7,"Bush Library with Doors, Mobile"
FUR-BO-10003697,7,"Safco Floating Shelf Set, Mobile"
FUR-HON-10003871,6,"Hon Conference Table, Fully Assembled"
FUR-BO-10001946,7,"Sauder 3-Shelf Cabinet, Metal"
TEC-AC-10004849,1,"SanDisk Router, Programmable"
OFF-AP-10003621,11,"KitchenAid Refrigerator, Red"
OFF-AP-10001106,11,"Hamilton Beach Stove, White"
TEC-SAM-10004785,2,"Samsung Smart Phone, with Caller ID"
OFF-ST-10004267,12,"Smead File Cart, Single Width"
FUR-TA-10002533,6,BPI Conference Tables
TEC-STA-10003386,4,"StarTech Inkjet, Wireless"
FUR-BO-10004043,7,"Dania Classic Bookcase, Metal"
TEC-PH-10001712,2,"Nokia Smart Phone, Full Size"
FUR-BO-10000259,7,"Safco Classic Bookcase, Traditional"
TEC-MA-10002927,4,Canon imageCLASS MF7460 Monochrome Digital Laser Multifunction Copier
FUR-TA-10004801,6,"Hon Conference Table, Rectangular"
FUR-BO-10004771,7,"Ikea Classic Bookcase, Traditional"
TEC-CO-10000971,3,Hewlett Packard 310 Color Digital Copier
FUR-BO-10001370,7,"Sauder Classic Bookcase, Mobile"
FUR-TA-10003748,6,Bevis 36 x 72 Conference Tables
TEC-CO-10002122,3,"Hewlett Fax Machine, Digital"
TEC-MA-10002468,4,"Panasonic Inkjet, White"
OFF-BRE-10002706,11,"Breville Microwave, White"
FUR-BO-10004388,7,"Ikea Library with Doors, Metal"
OFF-AP-10004201,11,"Breville Refrigerator, White"
OFF-AP-10004511,11,"Cuisinart Refrigerator, Black"
TEC-CO-10004961,3,"HP Wireless Fax, Color"
